buy_in,multiplier,position,result,cev,adjusted_cev
1.0,2.0,2,-1.0,-300,-19.77764000000002
1.0,2.0,1,1.0,600,60.36498999999992
1.0,2.0,2,-1.0,-300,-42.348839999999996
1.0,2.0,2,-1.0,-300,-92.55876
1.0,2.0,2,-1.0,-300,-300.0
1.0,2.0,2,-1.0,-300,103.37651
1.0,3.0,2,-1.0,-300,182.57312000000002
1.0,2.0,1,1.0,600,493.54963
1.0,3.0,1,2.0,600,281.6845800000001
1.0,5.0,3,-1.0,-300,-182.072432
1.0,2.0,2,-1.0,-300,-236.7065
1.0,3.0,1,2.0,600,86.43592000000004
1.0,2.0,2,-1.0,-300,-300.0
1.0,3.0,2,-1.0,-300,-109.51180000000001
1.0,5.0,2,-1.0,-300,-264.53716000000003
1.0,3.0,3,-1.0,-300,-291.41358
1.0,2.0,1,1.0,600,169.9706000000001
1.0,2.0,3,-1.0,-300,-111.50784000000002
1.0,2.0,1,1.0,600,2.4307259999999786
1.0,3.0,2,-1.0,-300,-120.97951499999994
1.0,3.0,2,-1.0,-300,-162.859
1.0,2.0,2,-1.0,-300,-205.41268
1.0,2.0,2,-1.0,-300,-236.48655
1.0,2.0,2,-1.0,-300,437.17886999999996
1.0,2.0,2,-1.0,-300,-165.9962799999999
1.0,2.0,3,-1.0,-300,-300.0
1.0,2.0,2,-1.0,-300,-118.55456000000001
1.0,2.0,1,1.0,600,34.087200000000095
1.0,2.0,1,1.0,600,353.77736000000004
1.0,2.0,2,-1.0,-300,-300.0
1.0,3.0,1,2.0,600,534.85399
1.0,4.0,2,-1.0,-300,-120.45420000000001
1.0,3.0,2,-1.0,-300,-258.347136
1.0,2.0,2,-1.0,-300,-182.61504000000002
1.0,2.0,3,-1.0,-300,-143.77656
1.0,3.0,1,2.0,600,571.53288
1.0,4.0,3,-1.0,-300,-128.37254000000001
1.0,4.0,1,3.0,600,272.8256
1.0,2.0,2,-1.0,-300,181.40625
1.0,3.0,1,2.0,600,93.87194
1.0,2.0,1,1.0,600,370.53228000000007
1.0,5.0,1,4.0,600,59.990320000000054
1.0,2.0,3,-1.0,-300,-300.0
1.0,2.0,2,-1.0,-300,157.54379999999998
1.0,4.0,1,3.0,600,-99.31734600000001
1.0,2.0,1,1.0,600,203.09193
1.0,4.0,1,3.0,600,92.13588000000004
1.0,2.0,1,1.0,600,302.84177999999997
